index,job,sector,sex,2015,2016,2017
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3133,Chemical processing plant controllers,private sector and public enterprises,Males,48800,49600,50750
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3134,Petroleum and natural gas refining plant operators,private sector and public enterprises,Males,63600,64600,63940
,,,Females,56200,57300,55090
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3135,Metal production process controllers,private sector and public enterprises,Males,43700,45000,44010
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3141,Life science technicians (excluding medical),private sector and public enterprises,Males,39900,41000,41530
,,,Females,39400,39800,41120
,,local government,Males,,,
,,,Females,,,
,,central government,Males,35300,36100,37200
,,,Females,33800,34000,34620
3142,Agricultural technicians,private sector and public enterprises,Males,42100,44300,46300
,,,Females,,,44230
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3143,Forestry technicians,private sector and public enterprises,Males,42900,43200,44670
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3151,Ships¿ engineers,private sector and public enterprises,Males,62200,61400,62160
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3152,Ships¿ deck officers and pilots,private sector and public enterprises,Males,60600,60000,60450
,,,Females,47900,48200,49470
,,local government,Males,,,
,,,Females,,,
,,central government,Males,61100,62800,65410
,,,Females,,,
3153,Aircraft pilots and related associate professionals,private sector and public enterprises,Males,82500,83100,84450
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3154,Air traffic controllers,private sector and public enterprises,Males,77400,79700,84170
,,,Females,64800,66900,70170
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3211,Medical imaging and therapeutic equipment technicians,private sector and public enterprises,Males,45800,,47010
,,,Females,40000,41000,42090
,,local government,Males,,,
,,,Females,,,
,,central government,Males,41000,41600,43140
,,,Females,39100,39500,41140
3212,Medical and pathology laboratory technicians,private sector and public enterprises,Males,43200,44100,44580
,,,Females,41500,42500,44180
,,local government,Males,,,
,,,Females,,,
,,central government,Males,40600,41300,42300
,,,Females,38000,38800,39890
3213,Pharmaceutical technicians and assistants,private sector and public enterprises,Males,39800,41400,41860
,,,Females,40800,41400,42170
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3214,Medical and dental prosthesis technicians,private sector and public enterprises,Males,41100,42100,44010
,,,Females,37200,39200,40250
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3240,Veterinary technicians and assistants,private sector and public enterprises,Males,,,
,,,Females,28200,28800,30110
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3251,Dental assistants and therapists,private sector and public enterprises,Males,,,
,,,Females,37600,37800,39610
,,local government,Males,,,
,,,Females,36500,37400,38720
,,central government,Males,,,
,,,Females,,,
3254,Dispensing opticians,private sector and public enterprises,Males,44500,46800,47280
,,,Females,39800,42000,42920
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3256,Medical assistants,private sector and public enterprises,Males,,,
,,,Females,32300,33000,33910
,,local government,Males,,,
,,,Females,33100,33800,34530
,,central government,Males,,,
,,,Females,31800,32700,33310
3257,Environmental and occupational health inspectors and associates,private sector and public enterprises,Males,63000,62400,64550
,,,Females,55100,55200,56680
,,local government,Males,,,
,,,Females,,,
